parcel_type,n_features,n_informative,n_classes,n_samples,sklearn_time,sklearn_accuracy,cuml_time,cuml_accuracy
sklearn_non_parallel,1000,10.0,8,3000,1.8021371364593506,0.12933333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.6977107524871826,0.12566666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.8423266410827637,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.780752182006836,0.13266666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.7606372833251953,0.13133333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.5338795185089111,0.136,,
sklearn_non_parallel,1000,10.0,8,3000,1.810563087463379,0.131,,
sklearn_non_parallel,1000,10.0,8,3000,1.8222641944885254,0.12233333333333332,,
sklearn_non_parallel,1000,10.0,8,3000,1.7078993320465088,0.13233333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.666975975036621,0.13866666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.7911961078643799,0.13866666666666666,,
sklearn_non_parallel,1000,10.0,8,3000,1.7825794219970703,0.12766666666666668,,
sklearn_non_parallel,1000,10.0,8,3000,1.7098515033721924,0.12866666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.680100440979004,0.128,,
sklearn_non_parallel,1000,10.0,8,3000,1.6499674320220947,0.13533333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.223207712173462,0.13066666666666665,,
sklearn_non_parallel,1000,10.0,8,3000,1.8254783153533936,0.12933333333333336,,
sklearn_non_parallel,1000,10.0,8,3000,1.773589849472046,0.13433333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.8312773704528809,0.13133333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.8298225402832031,0.11966666666666667,,
sklearn_non_parallel,1000,10.0,8,3000,1.2248599529266357,0.13033333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.6806962490081787,0.13433333333333333,,
sklearn_non_parallel,1000,10.0,8,3000,1.7716593742370605,0.12433333333333334,,
